Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
running,2019-10-01 12:40:39,false,"Jaipur Running","4.51","355","00:36:51","170","185","4.3","167","177","8:11","7:18","24","26","1.18","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","04:03.10","5","0.0"
running,2019-09-29 14:45:42,false,"Jaipur Running","1.12","76","00:08:34.2","161","180","2.3","166","177","7:40","7:11","8","10","1.25","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:52.20","2","0.0"
treadmill_running,2019-09-25 08:51:11,false,"Treadmill Running","4.61","362","00:45:31","147","163","3.2","160","176","9:52","8:32","--","--","1.02","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","06:04.87","5","0.0"
running,2019-09-23 11:22:57,false,"New York Running","6.31","484","00:56:03","158","180","3.7","171","182","8:53","8:00","183","178","1.06","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","02:53.24","7","0.0"
running,2019-09-21 12:08:24,false,"New York Running","7.21","560","01:04:09","156","178","3.7","170","181","8:54","7:00","147","157","1.06","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:55.27","8","0.0"
running,2019-09-19 11:04:09,false,"New York Running","0.81","71","00:06:51.0","174","188","2.4","170","177","8:25","7:37","--","--","1.13","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
running,2019-09-19 09:52:17,false,"New York Running","5.52","352","00:39:44","156","184","3.8","177","200","7:12","2:02","40","30","1.27","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","03:33.68","6","0.0"
running,2019-09-17 20:06:04,false,"New York Running","4.01","298","00:34:33","154","179","3.3","169","179","8:37","7:46","68","65","1.10","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.98","5","0.0"
running,2019-09-15 19:35:33,false,"New York Running","6.01","423","00:51:11","152","187","3.4","169","185","8:31","6:35","200","200","1.12","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:03.41","7","0.0"
running,2019-09-13 12:05:12,false,"New York Running","6.11","467","00:49:54","166","189","4.4","172","188","8:10","7:23","147","150","1.15","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:57.77","7","0.0"
running,2019-09-11 09:47:37,false,"New York Running","5.01","393","00:43:42","160","186","3.8","172","184","8:44","6:53","116","119","1.07","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:05.28","6","0.0"
running,2019-09-09 10:33:30,false,"New York Running","3.11","228","00:29:06","141","167","2.6","172","180","9:22","8:00","31","35","1.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:02.20","4","0.0"
running,2019-09-08 10:36:33,false,"New York Running","1.02","88","00:09:40.8","157","182","2.3","169","179","9:28","8:27","11","--","1.01","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:11.53","2","0.0"
running,2019-09-08 08:55:36,false,"New York Running","0.30","23","00:02:47.0","151","187","1.4","173","247","9:20","8:10","31","--","1.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
running,2019-09-08 08:35:06,false,"New York Running","0.99","47","00:05:32.3","149","158","1.7","195","207","5:34","4:56","15","46","1.48","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
running,2019-09-08 07:54:45,false,"New York Running","2.09","149","00:16:53","155","180","2.8","174","193","8:04","6:38","86","34","1.15","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:48.68","3","0.0"
running,2019-09-05 19:41:21,false,"New York Running","3.56","263","00:29:47","154","190","3.2","178","214","8:23","6:22","102","64","1.08","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","04:23.42","4","0.0"
